DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
31102025|530695|0000000000001776|0000000000052606|0000000000001981|0000000000057941|089.65
31102025|530697|0000000000000507|0000000000015170|0000000000000515|0000000000015429|098.45
31102025|530699|0000000000006006|0000000000146552|0000000000006006|0000000000146552|100.00
31102025|530705|0000000000000061|0000000000005456|0000000000000061|0000000000005456|100.00
31102025|530709|0000000000002714|0000000000262363|0000000000002715|0000000000266190|099.96
31102025|530711|0000000000001013|0000000000072136|0000000000001315|0000000000093772|077.03
31102025|530715|0000000000000678|0000000000001383|0000000000000678|0000000000001383|100.00
31102025|530723|0000000000000065|0000000000008522|0000000000000065|0000000000008574|100.00
31102025|530733|0000000000000001|0000000000000014|0000000000000001|0000000000000013|100.00
31102025|530735|0000000000000210|0000000000006930|0000000000000210|0000000000006630|100.00
31102025|530741|0000000000010328|0000000001729940|0000000000014479|0000000002406128|071.33
31102025|530745|0000000000210303|0000000007955763|0000000000245404|0000000009270063|085.70
31102025|530747|0000000000006287|0000000000172893|0000000000006291|0000000000176962|099.94
31102025|530755|0000000000000215|0000000000002894|0000000000000215|0000000000002893|100.00
31102025|530759|0000000000004488|0000000001392402|0000000000007280|0000000002275562|061.65
31102025|530765|0000000000000026|0000000000000579|0000000000000026|0000000000000578|100.00
31102025|530787|0000000000000003|0000000000000167|0000000000000003|0000000000000167|100.00
31102025|530789|0000000000000003|0000000000000585|0000000000000003|0000000000000589|100.00
31102025|530795|0000000000000595|0000000000007807|0000000000000599|0000000000007869|099.33
31102025|530797|0000000000000001|0000000000000019|0000000000000001|0000000000000018|100.00
31102025|530799|0000000000000998|0000000000035429|0000000000001612|0000000000055261|061.91
31102025|530803|0000000000003442|0000000000772729|0000000000008256|0000000001860400|041.69
31102025|530805|0000000000925643|0000000007681640|0000000000925643|0000000007681640|100.00
31102025|530809|0000000000000062|0000000000003038|0000000000000062|0000000000002917|100.00
31102025|530813|0000000000005017|0000000001872847|0000000000010423|0000000003912228|048.13
31102025|530821|0000000000001137|0000000000018761|0000000000001166|0000000000018717|097.51
31102025|530825|0000000000000437|0000000000051129|0000000000000437|0000000000051287|100.00
31102025|530829|0000000000000356|0000000000018331|0000000000000627|0000000000031812|056.78
31102025|530843|0000000000061481|0000000014355814|0000000000103027|0000000024181612|059.67
31102025|530845|0000000000014799|0000000015260729|0000000000019440|0000000019687524|076.13
31102025|530853|0000000000004263|0000000000322136|0000000000004263|0000000000322136|100.00
31102025|530855|0000000000000066|0000000000004617|0000000000000066|0000000000004617|100.00
31102025|530871|0000000000000188|0000000000032769|0000000000000195|0000000000034441|096.41
31102025|530879|0000000000151517|0000000005328853|0000000000221561|0000000007959185|068.39
31102025|530881|0000000000436334|0000000005113834|0000000000436334|0000000005113834|100.00
31102025|530883|0000000000122362|0000000001267671|0000000000303732|0000000003242562|040.29
