symbol,entry_date,entry_price,exit_date,exit_price,return_pct,days_held,exit_reason,pnl,patch1_capped,YM
QUESS,2023-09-12,428.15,2023-10-26,406.73571428571427,-5.4759832272568,44,SL,-1523.9524421874994,True,2023-09
HINDALCO,2023-10-02,478.0,2023-10-26,450.43571428571425,-6.237165075836809,24,SL,-1788.8189437499968,True,2023-10
ICICIAUTO,2023-10-18,167.59,2023-10-26,162.01285714285717,-3.8106059803687273,8,SL,-1366.6456363749894,True,2023-10
MANGLMCEM,2023-09-12,370.75,2023-11-03,422.5928571428571,13.414034811193524,52,TP,4127.800327187499,True,2023-09
OBEROIRLTY,2023-08-11,1096.8,2023-11-06,1244.4857142857143,12.89852878829322,87,TP,6366.197868750001,True,2023-08
AMBER,2023-08-29,2895.5,2023-11-06,3422.5285714285715,17.611373489034722,69,TP,6119.247832500005,True,2023-08
NEULANDLAB,2023-09-07,3736.35,2023-11-07,4465.678571428572,18.92296195652177,61,TP,4242.168534375007,True,2023-09
APOLLOTYRE,2023-09-21,369.05,2023-11-08,403.1214285714286,8.686720210676071,48,TP,1186.1586146875015,True,2023-09
SHAREINDIA,2023-11-09,1517.0,2023-11-13,1736.7142857142858,13.91177117666449,4,TP,8230.621181250011,True,2023-11
ONGC,2023-09-11,185.45,2023-11-15,198.80714285714282,6.667214714208688,65,TP,2126.668146250002,True,2023-09
MBLINFRA,2023-11-10,49.0,2023-11-17,43.67857142857142,-11.305200892857131,7,SL,-6176.596507812494,True,2023-11
ICICILIQ,2023-11-17,1000.0,2023-11-22,1001.52,-0.3481340500000003,5,TP,-201.91774900000019,True,2023-11
PFIZER,2023-06-20,3842.7,2023-11-23,4163.7,7.812411146459534,156,TP,3902.6978006250065,True,2023-06
CYIENT,2023-11-02,1643.8,2023-11-29,1976.142857142857,19.617623418299072,27,TP,12254.030762500006,True,2023-11
KOTAKSILVE,2023-10-10,69.2,2023-12-01,76.18,9.53695971820812,52,GAP_UP_TP,4877.086756375014,True,2023-10
APTUS,2023-10-17,290.45,2023-12-11,322.8,10.582894646238621,55,GAP_UP_TP,5748.009272500014,True,2023-10
CARBORUNIV,2023-11-20,1118.0,2023-12-12,1222.4000000000003,8.792096601073386,22,TP,4128.416880000019,True,2023-11
TRITURBINE,2023-12-05,433.0,2023-12-12,407.02857142857147,-6.4674428406466316,7,SL,-3192.45913499999,True,2023-12
APOLLOHOSP,2023-12-05,5610.0,2023-12-13,5378.078571428571,-4.612802289438505,8,SL,-2587.7820843750014,True,2023-12
DLF,2023-11-30,637.65,2023-12-14,682.9928571428571,6.576046665490481,14,TP,3983.555348437505,True,2023-11
HDFCNIFIT,2023-11-15,317.61,2023-12-15,348.45,9.162157303768776,30,TP,5412.586573125001,True,2023-11
RBLBANK,2023-12-07,253.0,2023-12-15,287.9142857142857,13.2318236166008,8,TP,4787.141466250003,True,2023-12
BALKRISIND,2023-12-12,2572.45,2023-12-20,2455.892857142857,-5.007726401387772,8,SL,-1932.318867187496,True,2023-12
MAXHEALTH,2023-12-15,704.35,2023-12-20,650.65,-8.085352940654504,5,SL,-2619.6624381250003,True,2023-12
NETWEB,2023-12-18,1298.7,2023-12-20,1170.8142857142857,-10.297410343035331,2,SL,-2674.6493624999966,True,2023-12
TIIL,2023-12-19,2700.05,2023-12-20,2503.4,-7.746202986981738,1,SL,-1673.2108300000036,True,2023-12
SHRIPISTON,2023-12-15,1020.0,2023-12-21,1216.65,18.683760202205914,6,GAP_UP_TP,7432.399808437513,True,2023-12
TIMESGTY,2023-12-19,114.0,2023-12-21,133.44285714285715,16.470593750000013,2,TP,3605.0835600000028,True,2023-12
PIDILITIND,2023-12-20,2662.0,2023-12-21,2565.1,-4.1213173600676125,1,GAP_DOWN_SL,-987.3852131249987,True,2023-12
POWERGRID,2023-09-20,198.7,2023-12-28,239.4285714285714,19.89578510317061,99,TP,3320.7657,True,2023-09
NTPC,2023-12-08,286.45,2023-12-28,313.6928571428571,8.963642324140338,20,TP,2644.6644040624997,True,2023-12
NRBBEARING,2023-09-07,270.0,2023-12-29,321.8857142857143,18.621591666666674,113,TP,3871.4289075000015,True,2023-09
HINDUNILVR,2023-12-08,2519.0,2023-12-29,2652.114285714286,4.758645891226695,21,TP,1438.4434800000054,True,2023-12
NEXT50,2023-12-08,518.83,2023-12-29,538.6757142857143,3.306613425881323,21,TP,874.9408243125035,True,2023-12
EIFFL,2023-10-31,141.1,2024-01-01,160.0142857142857,12.838564404677541,62,TP,9057.607187500005,True,2023-10
ZYDUSLIFE,2023-12-15,647.0,2024-01-01,703.0857142857143,8.125916537867095,17,TP,2944.182080000006,True,2023-12
LUPIN,2023-12-07,1246.05,2024-01-02,1364.7357142857145,8.978015754785124,26,TP,3579.8580900000015,True,2023-12
AUROPHARMA,2023-12-13,1014.7,2024-01-02,1109.314285714286,8.778421947373635,20,TP,2494.090130000008,True,2023-12
VSTIND,2023-12-19,3380.0,2024-01-02,3619.5714285714284,6.553141826923088,14,TP,1107.480968750002,True,2023-12
TINPLATE,2023-12-21,414.0,2024-01-02,458.1857142857143,10.12020516304351,12,TP,3351.8119500000103,True,2023-12
GSPL,2023-12-25,292.1,2024-01-02,328.7142857142857,11.97287529955495,8,TP,2622.9576562500006,True,2023-12
UBL,2023-12-20,1698.95,2024-01-03,1829.2785714285715,7.133441923688176,14,TP,2060.291396562505,True,2023-12
PIDILITIND,2023-12-21,2565.1,2024-01-03,2760.642857142857,7.0857626164671945,13,TP,1999.325865625,True,2023-12
INDUSINDBK,2023-11-08,1493.95,2024-01-04,1623.6071428571431,8.136099246126062,57,TP,5955.913479687515,True,2023-11
NESTLEIND,2024-01-01,26650.0,2024-01-05,2754.0,-89.71764648217636,4,GAP_DOWN_SL,-23909.7527875,True,2024-01
ATUL,2024-01-01,7198.0,2024-01-08,6905.864285714286,-4.537675382918853,7,SL,-1306.4874962499962,True,2024-01
HDFCAMC,2023-12-29,3215.0,2024-01-11,3528.4428571428566,9.201328013219264,13,TP,2958.2269562499932,True,2023-12
ABBOTINDIA,2024-01-05,23569.8,2024-01-11,25213.042857142857,6.437624521103298,6,TP,1517.335224375005,True,2024-01
BHARATRAS,2023-12-14,9025.0,2024-01-15,9809.042857142858,8.144697500000026,32,TP,2205.1768481250074,True,2023-12
ICICIPRULI,2024-01-08,541.0,2024-01-15,523.3428571428572,-3.7468736136783636,7,SL,-1500.023382499996,True,2024-01
RAMCOCEM,2023-11-08,1003.4,2024-01-17,953.3928571428571,-5.458256770729506,70,SL,-3669.4659453124914,True,2023-11
MARSHALL,2024-01-05,48.8,2024-01-18,42.68571428571428,-12.966080942622943,13,SL,-5422.622507499997,True,2024-01
AUTOAXLES,2024-01-16,2248.0,2024-01-18,2159.135714285714,-4.432672139123653,2,SL,-1195.7576362499967,True,2024-01
NEULANDLAB,2023-12-12,5064.75,2024-01-19,5926.335714285714,16.427090681919136,38,TP,5823.937527187496,True,2023-12
KOTAKALPHA,2024-01-09,41.37,2024-01-22,44.32428571428571,6.606094543147211,13,TP,2404.9883550000013,True,2024-01
FILATEX,2024-01-12,51.5,2024-01-22,60.94285714285715,17.744706310679646,10,TP,5208.95853750001,True,2024-01
DABUR,2023-12-29,544.75,2024-01-23,528.2714285714286,-3.5092477053694227,25,SL,-1051.414478124996,True,2023-12
PIDILITIND,2024-01-16,2751.1,2024-01-23,2651.292857142857,-4.1091576664788345,7,SL,-904.3762924999937,True,2024-01
NAVKARCORP,2024-01-16,120.3,2024-01-24,106.5142857142857,-11.901596009975062,8,SL,-2949.42972,True,2024-01
HDFCLIFE,2024-01-18,608.0,2024-01-24,581.6642857142857,-4.809276367187486,6,SL,-1549.7412165624955,True,2024-01
PHOENIXLTD,2024-01-22,2562.8,2024-01-24,2321.2428571428572,-9.877823059739336,2,SL,-3290.9350418749964,True,2024-01
GRINDWELL,2023-12-15,2200.0,2024-01-25,2420.714285714286,9.482992897727275,41,TP,2712.1359687500008,True,2023-12
SBILIFE,2023-12-22,1414.0,2024-01-25,1359.5142857142857,-4.333436262376232,34,SL,-1164.2209862499985,True,2023-12
CROMPTON,2024-01-01,313.5,2024-01-30,297.48571428571427,-5.582090909090917,29,SL,-2029.983180000003,True,2024-01
KOTAKPSUBK,2024-01-10,565.08,2024-01-31,632.05,11.292861243098313,21,GAP_UP_TP,3637.3809178124975,True,2024-01
SDL24BEES,2023-12-12,117.5,2024-02-01,119.12571428571428,0.8773023404255311,51,TP,283.47831874999974,True,2023-12
CANBK,2023-12-29,442.0,2024-02-01,489.85714285714283,10.273963518099551,34,TP,2770.066043750001,True,2023-12
KSCL,2024-01-11,660.15,2024-02-01,750.05,13.050736622358583,21,GAP_UP_TP,4221.567452812509,True,2024-01
NMDC,2024-01-25,213.7,2024-02-05,246.04285714285714,14.559747601778211,11,TP,6907.348098750008,True,2024-01
SPENCERS,2024-02-01,131.75,2024-02-05,114.24285714285715,-13.721171252371908,4,SL,-6887.582030624995,True,2024-02
BANDHANBNK,2024-01-10,234.9,2024-02-07,216.71428571428572,-8.202610153256702,28,SL,-2408.4914062499993,True,2024-01
SUMICHEM,2024-01-04,410.0,2024-02-08,387.3214285714286,-6.003111661585347,35,SL,-2928.918179687491,True,2024-01
BRITANNIA,2024-01-25,5150.0,2024-02-08,4897.392857142857,-5.379873756067964,14,SL,-2216.507987500001,True,2024-01
ELECTCAST,2024-02-08,198.8,2024-02-09,178.9857142857143,-10.416547095070417,1,SL,-4762.861993749997,True,2024-02
CERA,2024-01-02,7901.05,2024-02-12,7608.964285714286,-4.177710300371467,41,SL,-1650.4148984374988,True,2024-01
GSPL,2024-02-09,400.0,2024-02-12,358.95714285714286,-10.708849843749993,3,SL,-4840.400129374997,True,2024-02
VINDHYATEL,2024-02-07,2780.0,2024-02-13,2585.6857142857143,-7.454192580935224,6,SL,-3730.0779674999867,True,2024-02
SARVESHWAR,2024-02-07,10.15,2024-02-13,9.214285714285715,-9.672198275862053,6,SL,-4535.583937499992,True,2024-02
PHOENIXLTD,2024-02-08,2760.3,2024-02-13,2469.2928571428574,-10.989319061786752,5,SL,-5460.087133124995,True,2024-02
MCLEODRUSS,2023-12-22,30.0,2024-02-14,25.957142857142856,-13.908268749999985,54,SL,-3408.916670624996,True,2023-12
VBL,2024-01-22,1285.0,2024-02-14,1422.9714285714285,10.184082879377444,23,TP,3140.771160000004,True,2024-01
MCDOWELL-N,2023-11-17,1044.95,2024-02-15,1146.8642857142859,9.204950685439504,90,TP,4809.356609375005,True,2023-11
ICRA,2023-12-05,5480.25,2024-02-19,5988.107142857143,8.721391046257022,76,TP,4779.540328125004,True,2023-12
SUNPHARMA,2024-02-01,1427.0,2024-02-27,1584.9571428571428,10.51452439558514,26,TP,5701.6059987499975,True,2024-02
HNDFDS,2024-02-13,545.7,2024-02-27,516.6714285714286,-5.792321673996708,14,SL,-2908.000342500003,True,2024-02
ABFRL,2024-02-15,245.3,2024-02-27,224.39285714285717,-8.979904071545036,12,SL,-5066.372078124994,True,2024-02
INDIAMART,2024-02-21,2784.1,2024-02-28,2650.3142857142857,-5.280727030279066,7,SL,-2646.37298249999,True,2024-02
STARHEALTH,2024-01-15,555.75,2024-03-01,533.5071428571429,-4.481701923076908,46,SL,-1369.8882140624955,True,2024-01
TIJARIA,2024-02-23,9.1,2024-03-01,11.55,26.289254807692323,7,GAP_UP_TP,11076.451728125008,True,2024-02
MANINFRA,2024-01-02,218.25,2024-03-04,200.60000000000002,-8.546046391752574,62,SL,-3301.3590862499987,True,2024-01
TIMKEN,2024-02-13,2820.05,2024-03-06,2576.4428571428575,-9.094635002038947,22,SL,-5385.938341874986,True,2024-02
KIRLOSIND,2024-02-28,4380.0,2024-03-06,4103.314285714286,-6.784854794520537,7,SL,-3863.296319999994,True,2024-02
GPTINFRA,2024-03-05,192.1,2024-03-06,165.74285714285713,-14.151390551795922,1,SL,-7611.74994999999,True,2024-03
GOCOLORS,2024-02-16,1197.0,2024-03-07,1083.6857142857143,-9.918624999999977,20,SL,-4986.489532499989,True,2024-02
POWERINDIA,2024-01-18,5863.0,2024-03-11,6683.342857142857,13.422614936892357,53,TP,3934.839568749994,True,2024-01
NEWGEN,2024-03-01,861.85,2024-03-12,730.5,-15.66373897720021,11,SL,-8639.8678,True,2024-03
GRINDWELL,2024-03-06,2079.0,2024-03-12,1974.357142857143,-5.50756628787877,6,SL,-3435.0690937499894,True,2024-03
ASTRAZEN,2024-03-06,5470.0,2024-03-12,5229.092857142858,-4.881534283592308,6,SL,-2670.1992531249925,True,2024-03
ISEC,2024-02-21,805.0,2024-03-13,741.5142857142857,-8.346416304347814,21,SL,-3896.941772499995,True,2024-02
CIEINDIA,2024-03-07,445.7,2024-03-13,416.01428571428573,-7.126584165357837,6,SL,-4002.1613887499843,True,2024-03
KOTAKLOVOL,2024-03-07,18.67,2024-03-13,17.684285714285718,-5.75267909748256,6,SL,-2932.088761874984,True,2024-03
INDUSINDBK,2024-03-11,1566.1,2024-03-13,1496.9499999999998,-4.892752318657799,2,SL,-2145.5110337499937,True,2024-03
CANFINHOME,2023-12-12,762.8,2024-03-15,711.4857142857143,-7.192877228631346,94,SL,-1865.4870949999968,True,2023-12
CROMPTON,2024-02-13,285.1,2024-03-18,270.1571428571429,-5.714470142055418,34,SL,-3193.2230574999994,True,2024-02
CARBORUNIV,2024-02-29,1050.1,2024-03-22,1181.5142857142857,11.952585349014406,22,TP,6275.704937500013,True,2024-02
PFIZER,2024-03-12,4448.0,2024-03-26,3950.0,-11.639507924910072,14,GAP_DOWN_SL,-6212.703750000001,True,2024-03
HDFCBANK,2024-03-11,1430.0,2024-04-04,1513.1285714285714,5.284782211538474,24,TP,2569.461111250006,True,2024-03
VEDL,2024-04-04,306.05,2024-04-10,347.0,12.813974432282313,6,GAP_UP_TP,5843.358143750003,True,2024-04
CROMPTON,2024-03-25,268.75,2024-04-12,300.9928571428571,11.438055465116262,18,TP,6455.352553124991,True,2024-03
HINDUNILVR,2024-03-19,2283.25,2024-04-15,2217.9,-3.347230400744515,27,SL,-2292.7691437499743,True,2024-03
