DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,TRIGGER_COUNT_30D,REPEAT_FLAG,AI_SCORE
2026-07-13,JKCEMENT,,NSE,5421.0,54.36,67724553.0,20568.619513398,,49.66799999999999,52.05272727272728,53.42257575757576,130526571.4,267016159.0,242917242.189394,18555.732511518003,37335.082918059845,29099.035160444266,1.0175473426567476,0.27879681322578803,0.7068488491109123,True,True,True,0.36,0.04,0.21333333333333335,0.20266666666666666,1,False,0.368
2026-07-13,PANORAMA,,BSE,48.58,36.96,3066855.4,11533.029166666667,,47.298,58.960000000000015,41.62015151515152,10658377.0,10658801.052727273,6982753.135909092,23186.05820166124,33329.769585197006,24624.820475967503,0.8880313659248688,0.43920432819378524,0.46834977651602705,True,True,True,0.16666666666666666,0.19333333333333333,0.06,0.15600000000000003,4,True,0.12200000000000001
2026-07-10,JKTYRE,,NSE,413.25,53.31,124676698.5,16861.620050305424,,44.844,46.1418181818182,42.90015151515152,208387522.5,197236748.6090909,201234830.5704545,19211.358565465947,20072.759753228336,18231.55073665308,1.2426529538286577,0.6195582451932908,0.9248593437752105,True,True,True,0.6933333333333334,0.4,0.56,0.5493333333333335,1,False,0.6453333333333333
2026-07-10,INDIQUBE,,NSE,181.75,67.45,8095508.5,8898.5023670412,,46.116,54.46818181818182,58.45484848484849,1798281.296,15972447.537272723,12838323.268030304,4387.587489043348,7445.135591169572,9294.177264819937,1.1538820431205643,0.6305736606710355,0.9574276574994502,True,True,True,0.6133333333333333,0.4266666666666667,0.6133333333333333,0.5386666666666667,1,False,0.6719999999999999
2026-07-10,GROWWHOSPI,,NSE,53.99,83.07,12502680.26,15347.95356122449,,74.89200000000001,78.81454545454545,72.65727272727274,17690083.630000003,30428732.28318182,17208401.470606063,20190.720019859386,30487.46667475544,18488.793257968988,1.143312938703502,0.726545128631269,0.8301219742726724,True,True,True,0.58,0.4866666666666667,0.43333333333333335,0.5133333333333333,2,True,0.4666666666666667
2026-07-09,DLINKINDIA,,NSE,443.3,62.96,20974739.5,11940.916529664046,,50.438,46.07272727272727,50.01924242424242,20610770.0,54193921.13636363,50865492.35303031,11003.13549076665,15705.019218276184,16623.420657427563,1.2587155852141751,0.4123569541886176,0.7183188572159899,True,True,True,0.74,0.12666666666666668,0.23333333333333334,0.39333333333333337,2,True,0.32666666666666666
2026-07-09,VSTIND,,NSE,219.56,61.61,21115963.44,8110.54231549163,,55.262,52.57863636363636,56.70106060606061,30959623.496,54198148.49909091,50882158.59363637,9800.304109850951,14180.641972736905,14952.735322330558,1.0865757949052313,0.4149973983737571,0.5424119494296985,True,True,True,0.46,0.15333333333333332,0.11333333333333333,0.268,2,True,0.22933333333333333
2026-07-08,PAGEIND,,NSE,40050.0,56.92,358327350.0,82879.52978470479,,39.39,47.18772727272727,46.36712121212121,305521384.0,576717630.2272727,579360990.2272727,82856.06540433502,101944.19151555993,97906.0065571616,1.2275940043722204,0.6184871885479116,0.846521400465009,True,True,True,0.6666666666666666,0.38666666666666666,0.4666666666666667,0.5146666666666667,1,False,0.5853333333333333
2026-07-07,INDUSTOWER,,NSE,383.3,69.19,1520162050.5,50592.44043014681,,50.262,54.29409090909092,56.81227272727273,913822058.32,1257547056.6227274,1558020241.0787878,30968.065038698747,33796.577751056575,38619.82550717183,1.217870658548489,0.9757010919495023,1.3100121444295916,True,True,True,0.6533333333333333,0.6266666666666667,0.7733333333333333,0.6666666666666667,1,False,0.792
2026-07-07,DLF,,NSE,642.0,50.74,1591014030.0,35390.9095845998,,39.414,45.18727272727273,44.70818181818181,923024953.57,1469956526.2113638,1295071890.7742424,37665.14931798073,46779.09124562617,45479.972760161705,1.1349153093800202,1.22851406268175,0.7781647049621929,True,True,True,0.5466666666666666,0.7066666666666667,0.37333333333333335,0.5760000000000001,3,True,0.416
