DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D
2026-07-06,CEMPRO,,NSE,1521.4,59.7,624901357.4000001,55744.18276120201,,,,,,,,,,,1.4552908587257618,2.019665910796965,2.230232859277372,True,True,True
2026-07-06,MANORAMA,,NSE,1575.9,55.44,311946253.20000005,33388.82272113636,,,,,,,,,,,1.0975846801770994,2.4568844804181253,1.955084798690708,True,True,True
2026-07-06,POLYPLEX,,NSE,1014.9,64.28,83756652.3,20245.293039950066,,,,,,,,,,,1.2328884161704576,1.6746972252300294,1.1374444187991728,True,True,True
2026-07-03,ALKEM,,NSE,5562.5,69.44,2195029250.0,76029.43010701089,,,,,,,,,,,1.433817525395837,5.919549695771574,2.2965700177148287,True,True,True
2026-07-03,GMRAIRPORT,,NSE,112.8,63.97,2411364741.6,71217.50708475286,,,,,,,,,,,1.2339351003480836,2.133311513076562,2.1662563247228017,True,True,True
2026-07-03,HARSHA,,NSE,417.55,69.4,112965229.65,25665.42231075697,,,,,,,,,,,1.3098720841447824,2.6606697577693827,1.7991357841763382,True,True,True
2026-07-02,CEMPRO,,NSE,1431.4,58.19,1043935765.4,93976.33131992226,,,,,,,,,,,1.4146469036849316,3.5973096661203114,4.014503692673944,True,True,True
2026-07-02,DIVISLAB,,NSE,6682.5,64.87,1492683390.0,78878.4012057298,,,,,,,,,,,1.1633345107735782,1.1755059743220475,1.2465428780943242,True,True,True
2026-07-02,JUBLCPL,,NSE,2073.4,64.41,15017636.2,24750.285944206007,,,,,,,,,,,1.1529674049242484,1.976848426575876,1.7196824699629811,True,True,True
2026-07-02,TEAMLEASE,,NSE,1467.8,78.38,82707594.39999999,23432.729859406383,,,,,,,,,,,1.3683876394686303,2.8790445432053784,1.6807935672418486,True,True,True
2026-07-01,MANORAMA,,NSE,1565.0,59.54,363840590.0,27742.80789625873,,,,,,,,,,,1.1862491170237817,3.027978203819173,1.6756311238200468,True,True,True
2024-10-09,IDFC,,NSE,107.97,68.91,4856576112.24,70706.66162463056,,,,,,,,,,,1.3217953859835736,12.914230273342008,3.6252100914122365,,,
